DateLocalPort,TimeLocalPort,FlightCode,FlightNumber,Movement,AircraftType,AircraftRegistration,Origin,Destination,FlightType,SeatingCapacity,TotalPassengers,Infants,TransitPax,TransferPax,POSCrew,OnCarriagePax,Exemptions,TotalPaxChargeable
2025-08-04,01:34:39,JQ,6873,D,Giv,Hear.,WIT,LOS,INT,292,495,13,16,13,7,43,17,94
2025-08-01,20:01:05,JQ,8314,L,Uni,Lay.,ALS,HIG,DOM,357,475,37,21,1,0,16,7,475
2025-01-01,14:05:29,JQ,1063,L,Uni,Unit.,ONC,FAC,DOM,418,381,50,3,10,6,2,4,87
2025-11-17,18:48:20,JQ,2477,D,Tre,Live.,HIT,SHE,INT,291,241,25,0,16,1,26,2,65
2025-12-22,13:39:47,JQ,9405,L,Giv,Rise.,ITE,HE.,DOM,407,116,34,7,3,5,7,20,105
2025-09-12,19:48:32,JQ,2800,L,Pus,Fund.,BOD,SIZ,DOM,486,164,41,20,10,4,21,8,209
2025-08-22,21:57:05,JQ,2968,L,Goa,Yeah.,LEG,PAR,INT,426,378,21,19,17,6,35,11,63
2025-06-20,13:39:54,JQ,8106,L,The,Else.,BOR,HER,INT,424,36,18,10,15,6,7,9,177
2025-12-17,10:09:35,JQ,7083,D,Ski,Miss.,ART,AND,INT,304,27,31,21,4,10,8,19,151
2025-04-08,21:11:28,JQ,290,D,Far,Keep.,TEA,UPO,INT,409,150,21,11,0,9,12,16,282
2025-01-19,12:02:33,JQ,6151,L,The,Woman.,THE,GAM,DOM,329,414,37,14,14,3,4,4,430
2025-11-18,06:03:30,JQ,9803,D,Als,Here.,BIG,AGE,INT,272,126,47,0,5,9,31,10,411
2025-11-29,23:04:27,JQ,5200,L,Jus,Day.,LOW,WEA,DOM,304,105,25,21,12,0,13,12,262
2025-09-13,05:27:32,JQ,6011,L,Nic,Act.,FEW,MAK,DOM,448,175,40,0,15,5,16,19,288
2025-05-05,06:54:03,JQ,4721,L,Lis,Large.,FOR,THA,DOM,482,152,42,2,11,2,22,13,173
2025-01-16,18:15:21,JQ,945,L,Car,Do.,INT,MAN,DOM,418,1,17,22,22,8,43,1,353
2025-02-11,10:06:23,JQ,6273,L,Pus,Where.,NOW,LEG,DOM,373,145,5,5,16,1,50,8,40
2025-03-23,00:15:39,JQ,4388,D,Hot,Unit.,OUR,OF.,DOM,215,84,33,9,14,3,45,4,104
2025-09-19,09:59:34,JQ,4410,D,Hav,Like.,AWA,BAL,DOM,472,269,14,15,8,9,37,11,94
2025-02-01,11:17:46,JQ,7696,D,Ok.,Seek.,SAV,RIS,DOM,358,160,28,5,12,2,23,12,102
2025-12-07,21:52:14,JQ,7102,L,Him,Agree.,UPO,LOS,INT,142,54,19,1,25,9,15,20,282
2025-09-29,16:18:04,JQ,994,L,Bad,Alone.,PUS,TWO,DOM,440,497,0,24,16,7,24,8,219
2025-06-13,14:23:15,JQ,6566,D,Key,Happy.,LAT,FOU,DOM,468,462,47,16,13,10,30,17,288
2025-04-23,00:36:12,JQ,8887,D,Get,Trial.,HEA,MOS,DOM,233,297,25,25,9,10,15,12,311
2025-01-17,00:17:07,JQ,9840,D,Ago,Test.,LET,KID,INT,369,147,20,21,19,9,1,11,30
2025-01-30,00:44:28,JQ,4718,L,Soo,Her.,SON,TER,INT,272,18,19,25,12,10,36,18,327
2025-12-30,01:54:09,JQ,361,L,Foo,Much.,MOR,THE,DOM,212,272,21,20,0,3,29,17,347
2025-01-13,21:05:36,JQ,8951,L,Als,Mean.,I.,THE,INT,234,357,0,11,5,4,9,12,116
2025-06-21,08:27:20,JQ,4445,L,Whe,Level.,SAY,DEA,INT,225,62,6,19,4,5,3,3,58
2025-02-04,01:32:17,JQ,2857,D,Act,Art.,SIX,LON,INT,499,85,1,11,0,3,29,11,499
2025-10-01,14:27:16,JQ,7243,D,Son,Like.,TOP,MRS,INT,169,168,36,3,10,8,15,9,337
2025-05-08,10:01:15,JQ,7564,L,See,Admit.,WIT,NOT,DOM,181,155,26,6,4,9,13,11,303
2025-04-15,15:14:20,JQ,9591,L,Poo,Sure.,DRU,FIR,DOM,464,290,47,25,23,7,36,12,243
2025-06-03,02:43:13,JQ,2748,L,Tim,East.,PAR,SUC,INT,390,149,49,0,2,1,45,18,118
2025-10-23,21:25:29,JQ,710,D,Law,Peace.,EVE,BAD,DOM,398,417,33,24,3,2,1,17,236
2025-01-19,01:44:32,JQ,3505,D,Bal,Base.,NO.,REA,INT,426,6,6,2,4,8,44,9,389
2025-10-12,06:59:32,JQ,9268,L,Fir,Soon.,BAN,YOU,DOM,435,239,38,19,7,7,10,2,253
2025-05-23,21:44:48,JQ,7235,D,Put,Run.,TRI,MEA,INT,365,258,14,15,1,0,22,4,96
2025-12-30,08:17:01,JQ,9979,L,Sit,Fund.,SKI,LIN,DOM,373,77,13,10,21,2,30,13,155
2025-07-17,14:06:38,JQ,7292,D,Tha,Movie.,MUS,MIS,DOM,252,3,5,13,4,4,34,2,55
2025-06-06,06:21:57,JQ,7000,D,But,Bar.,AIR,CAR,INT,345,196,14,23,17,4,36,18,313
2025-11-13,04:48:08,JQ,5192,L,Hou,Son.,KNO,MOR,INT,158,183,7,9,18,0,8,17,239
2025-03-20,09:33:42,JQ,709,L,Soo,Then.,AT.,SOO,DOM,147,351,12,6,24,0,37,4,156
2025-09-29,22:50:12,JQ,6395,D,Me.,Easy.,STO,LOO,DOM,143,98,25,10,25,3,49,8,253
2025-06-08,12:47:01,JQ,5401,L,Who,Force.,YEA,NOW,DOM,479,40,35,0,21,9,22,3,283
2025-09-08,05:25:40,JQ,9519,D,Tax,Power.,CEL,AWA,INT,274,63,39,5,25,7,10,2,278
2025-05-11,16:15:13,JQ,5526,D,You,Bad.,TEA,WIT,DOM,146,341,48,3,13,8,31,1,267
2025-08-04,14:58:08,JQ,2183,D,Ont,Occur.,GOA,EAT,INT,423,368,31,5,12,7,19,8,220
2025-11-14,09:19:39,JQ,1465,D,One,Plan.,GRO,DOO,INT,128,382,44,2,8,8,7,19,481
2025-05-29,15:02:59,JQ,3064,D,Pul,Main.,AWA,GRO,DOM,312,136,49,5,16,2,4,13,47
2025-10-30,19:57:36,JQ,7130,L,Bes,PM.,WE.,WOR,DOM,361,276,11,19,0,4,35,3,93
2025-11-25,20:57:17,JQ,9573,L,Tax,Door.,YES,SAM,DOM,459,12,21,24,0,6,25,5,94
2025-04-05,22:33:57,JQ,5186,D,Tha,Help.,BEA,ONL,INT,310,41,29,0,13,5,40,14,303
2025-06-24,14:52:16,JQ,5253,L,Nex,Blood.,RIC,THE,INT,210,355,4,7,10,6,28,18,156
2025-04-09,11:25:06,JQ,6465,L,So.,Chair.,SIG,LIK,DOM,313,162,48,6,5,10,45,11,252
2025-04-25,08:47:54,JQ,3282,D,Blu,Ball.,TO.,LAW,DOM,143,29,15,16,24,6,39,11,86
2025-03-08,17:12:01,JQ,1133,L,Roc,On.,FIN,GAS,INT,438,173,17,19,4,8,45,10,251
2025-08-20,16:20:26,JQ,5117,D,Goa,Want.,LOS,BIG,DOM,180,309,45,16,15,8,45,18,459
2025-06-10,16:18:44,JQ,9508,L,In.,Young.,WAL,TRI,DOM,341,480,18,0,10,1,35,2,129
2025-01-13,09:11:51,JQ,6353,D,Her,Week.,CAR,NIC,DOM,211,369,16,20,6,7,33,7,371
2025-10-08,12:42:48,JQ,9552,L,The,Bed.,TER,LOO,INT,122,123,36,8,23,6,12,9,372
2025-08-15,05:17:34,JQ,2888,L,Fir,Best.,DO.,END,DOM,335,19,2,17,9,3,26,17,288
2025-12-12,00:57:56,JQ,5353,D,Leg,West.,GUY,ANY,DOM,174,316,9,8,1,5,26,16,476
2025-10-11,14:08:33,JQ,3810,L,Roa,Go.,WHY,THU,INT,276,129,26,24,18,6,4,20,181
2025-01-23,07:36:30,JQ,2766,D,Ten,Large.,PLA,SAV,DOM,275,180,42,2,14,8,37,17,177
2025-05-31,23:21:12,JQ,8975,L,Use,Media.,DAY,NAM,DOM,296,268,2,21,3,0,31,10,438
2025-08-26,16:43:02,JQ,8076,D,Lin,South.,MR.,HEL,DOM,398,256,35,13,5,0,39,5,438
2025-03-17,14:04:57,JQ,1890,L,Onl,Meet.,TRE,UP.,DOM,345,316,4,7,17,7,28,18,24
2025-03-11,15:17:14,JQ,4306,L,Wai,Ahead.,LOO,GAS,INT,467,81,26,2,0,2,4,20,172
2025-09-25,18:23:10,JQ,8510,D,Wit,Fall.,WAL,THU,DOM,226,185,34,23,21,0,22,10,23
2025-03-12,08:51:23,JQ,9718,L,Put,Wait.,WE.,STA,DOM,453,312,21,2,8,3,49,6,369
2025-04-30,21:30:47,JQ,8543,L,Giv,Least.,HEA,CAS,DOM,436,218,18,19,22,0,8,9,370
2025-04-23,18:18:35,JQ,2139,L,Pag,Place.,MAI,GO.,DOM,116,245,36,0,13,6,26,3,108
2025-10-06,18:05:26,JQ,3094,D,Los,Song.,TV.,HOP,INT,185,108,15,20,20,10,32,16,4
2025-01-14,08:24:29,JQ,2959,D,Ski,Arm.,MOV,LET,INT,429,128,9,5,5,3,31,2,411
2025-11-21,04:33:36,JQ,8596,D,Boy,Local.,ELS,DAY,INT,101,312,33,22,18,8,2,20,226
2025-09-01,06:26:38,JQ,2116,D,Ter,Bad.,BAD,TEN,INT,294,425,2,3,8,7,48,3,96
2025-05-10,01:17:38,JQ,3594,D,Bar,Most.,PAY,A.,INT,193,144,26,9,14,5,37,0,477
2025-07-10,09:00:06,JQ,962,L,Yea,Try.,LOS,UP.,INT,110,276,47,25,2,2,0,4,144
2025-02-08,08:42:44,JQ,8117,D,Sur,Turn.,LIV,SEE,INT,259,280,2,25,3,6,0,12,255
2025-10-19,17:50:22,JQ,147,D,Mea,These.,WHY,FIS,DOM,446,280,45,21,9,0,1,10,494
2025-08-14,01:01:39,JQ,1575,D,Kid,Dog.,EYE,HOT,INT,350,498,26,19,16,10,31,4,48
2025-01-04,10:11:01,JQ,5188,L,Sid,Foot.,JOI,LOS,DOM,295,90,5,4,11,6,33,6,215
2025-12-17,17:13:19,JQ,5659,L,Wes,How.,SOO,ARE,DOM,176,21,5,10,24,4,23,18,195
2025-04-19,03:11:59,JQ,9972,D,Ove,Guess.,PAG,ONE,INT,403,67,28,5,22,0,47,2,260
2025-01-14,20:01:19,JQ,472,D,Tha,All.,BAN,FAC,INT,133,91,41,23,16,1,21,10,382
2025-04-24,20:05:45,JQ,7281,D,War,Often.,TUR,ART,DOM,169,228,45,25,0,9,11,7,401
2025-05-07,21:44:20,JQ,4667,L,Set,Two.,SAF,SO.,DOM,403,366,7,13,25,4,2,8,315
2025-01-29,18:05:06,JQ,2374,L,Bas,Test.,OVE,THE,DOM,257,115,8,5,7,4,49,7,272
2025-12-28,11:31:27,JQ,5817,D,Hit,Show.,WAY,BOX,INT,268,378,1,13,9,8,0,0,380
2025-12-01,00:32:17,JQ,462,D,How,TV.,HAR,GAS,DOM,493,336,28,21,23,10,33,15,11
2025-10-15,04:54:41,JQ,8205,L,Sig,Watch.,KIN,MUC,INT,125,287,3,19,5,0,31,17,474
2025-05-23,09:29:35,JQ,3899,D,Hit,Occur.,ELS,BUT,DOM,255,30,40,6,14,6,44,20,204
2025-01-03,23:10:59,JQ,5321,L,Foo,Talk.,TYP,OIL,DOM,251,225,35,12,6,1,4,11,160
2025-03-26,15:56:35,JQ,3499,L,Yea,Skin.,BAR,NO.,INT,208,430,7,9,5,7,2,12,474
2025-10-25,00:31:14,JQ,1613,D,Tel,Him.,WAL,I.,DOM,404,3,33,22,15,8,2,19,318
2025-03-30,07:32:46,JQ,8986,L,Cut,Live.,CAL,SAY,DOM,203,13,47,24,1,0,23,16,76
2025-08-09,18:17:37,JQ,7040,D,No.,Occur.,OPE,SIG,DOM,355,65,49,18,16,0,49,15,42
2025-10-29,20:03:38,JQ,703,L,Doo,Over.,WAR,TV.,DOM,134,431,39,5,9,0,43,15,161
2025-07-18,10:24:20,JQ,2818,D,Joi,Event.,CUT,TEL,INT,134,243,16,6,13,1,39,20,158
2025-12-11,18:27:27,JQ,1208,L,Hav,Away.,ALL,REA,INT,355,135,13,13,5,5,36,9,172
2025-11-21,06:39:32,JQ,4914,L,Uni,Sense.,MUS,DEE,INT,293,103,21,2,25,0,16,4,100
2025-10-08,23:42:00,JQ,9354,L,Tes,Town.,YOU,OUT,INT,376,0,36,1,7,2,29,6,196
2025-09-08,00:12:30,JQ,990,L,Lin,Foot.,RIC,HAN,INT,221,312,24,5,1,9,0,10,297
2025-11-04,20:47:14,JQ,195,L,Non,This.,WAL,SUC,INT,239,176,39,5,19,8,14,1,388
2025-07-19,12:19:24,JQ,6791,D,But,Often.,KEE,ON.,INT,475,256,27,17,8,3,35,3,456
2025-04-30,12:18:42,JQ,6179,L,Get,With.,PUL,TO.,INT,293,171,15,13,10,3,29,20,6
2025-12-21,09:50:30,JQ,2084,L,Hel,Wife.,ROC,SIZ,DOM,339,84,46,4,25,10,26,19,459
2025-12-21,13:58:38,JQ,6026,L,Joi,Not.,HOP,WES,INT,295,385,41,5,4,3,23,7,158
2025-04-25,00:43:48,JQ,7018,L,Min,Girl.,AWA,DOO,INT,398,384,16,15,4,10,49,5,83
2025-03-02,01:58:57,JQ,4419,L,Why,Draw.,OF.,SAY,INT,334,319,38,2,0,10,20,2,39
2025-05-26,10:35:03,JQ,9254,L,Sto,Large.,SEE,ACT,INT,285,93,2,5,3,9,29,14,183
2025-04-24,14:54:22,JQ,6244,D,Low,Heavy.,YEA,FOU,DOM,213,253,49,6,7,10,1,19,461
2025-04-11,02:01:09,JQ,1554,D,Gam,Song.,YOU,END,INT,487,213,8,19,2,5,3,17,493
2025-07-17,08:53:17,JQ,863,L,His,Let.,GIV,FRO,DOM,371,172,42,13,20,1,19,5,155
2025-07-04,21:00:42,JQ,1301,D,Act,Stay.,ARE,HAV,INT,495,40,4,15,2,2,33,15,221
2025-02-21,07:27:22,JQ,7046,L,Lay,Major.,DRU,NOT,DOM,269,149,44,9,12,7,37,7,129
2025-09-07,13:21:23,JQ,6329,L,Car,Show.,RES,THI,DOM,313,392,41,5,21,9,12,11,161
2025-12-06,00:00:09,JQ,5042,D,Whe,Test.,LAN,SIN,DOM,275,140,14,24,15,0,0,12,460
2025-04-23,20:49:37,JQ,7108,D,Wes,Value.,ITS,HER,DOM,300,272,30,3,2,8,3,18,455
2025-05-12,07:13:38,JQ,9133,L,Eye,Top.,WAN,EYE,INT,310,101,17,8,2,9,8,1,464
2025-06-28,04:27:00,JQ,7442,D,Fac,True.,LES,LIN,INT,401,173,42,25,13,6,29,5,326
2025-09-27,11:07:53,JQ,7938,D,Ide,Even.,YAR,SOR,DOM,205,86,0,23,25,1,50,11,489
2025-08-07,15:14:10,JQ,212,L,Hal,Off.,HOW,TRI,INT,488,153,36,0,11,9,49,3,103
2025-12-03,11:45:57,JQ,7061,D,Sit,Four.,SIT,LAN,DOM,415,453,4,19,4,3,34,3,207
2025-03-31,15:08:23,JQ,7147,D,Pla,Trip.,BLU,GIR,DOM,469,49,36,7,4,0,50,6,331
2025-06-01,18:56:54,JQ,1426,L,PM.,Make.,SID,BAG,INT,340,150,48,15,12,6,33,12,108
2025-07-02,03:46:27,JQ,8496,L,Job,House.,NEW,GAS,DOM,239,309,8,24,16,10,28,15,261
2025-04-28,10:14:21,JQ,8877,D,Lis,Them.,MIN,LAN,INT,372,466,34,3,23,7,8,3,20
2025-05-19,04:55:03,JQ,5852,D,How,Form.,TEN,WIS,INT,440,132,21,17,0,3,25,16,83
2025-06-06,20:47:12,JQ,3420,D,Do.,Set.,CIT,A.,DOM,379,167,13,7,4,7,15,8,288
2025-11-20,07:16:14,JQ,4530,L,By.,Card.,SIT,NEX,INT,109,399,44,17,10,4,29,5,311
2025-04-06,01:09:13,JQ,4628,L,Bac,Worry.,IDE,MEA,DOM,151,382,24,2,16,10,21,17,313
2025-08-21,02:13:45,JQ,202,L,Whe,Box.,TAS,MIN,INT,330,266,35,21,7,3,38,11,355
2025-04-03,10:42:17,JQ,6609,L,Dra,Rock.,OFF,FIL,INT,396,460,26,3,25,0,27,18,381
2025-09-02,22:29:03,JQ,5184,D,Wea,Gun.,SON,GIV,DOM,111,346,35,16,6,0,32,17,471
2025-02-25,11:42:10,JQ,917,L,Cas,Know.,TAS,PUT,DOM,316,6,42,15,25,4,40,20,342
2025-02-17,04:08:27,JQ,4619,L,Saf,Today.,WIN,FAR,DOM,282,36,43,18,2,6,31,8,195
2025-06-23,12:10:40,JQ,7207,D,Mea,Eat.,BOT,FIS,INT,394,436,33,23,17,3,5,17,83
2025-09-18,22:55:43,JQ,4374,D,Pla,To.,FIL,BAD,INT,407,37,18,22,25,9,37,8,412
2025-09-26,17:32:23,JQ,3360,D,Fis,List.,STA,MEA,INT,453,177,17,8,17,9,8,2,351
2025-05-12,04:20:19,JQ,9670,L,Fil,Hotel.,GO.,THE,INT,392,4,5,25,7,3,30,3,160
2025-12-31,19:33:01,JQ,8966,D,Eve,Boy.,TER,POO,INT,184,334,20,3,20,2,27,14,184
2025-07-27,18:37:42,JQ,4098,L,PM.,Far.,MY.,BOY,INT,119,170,29,18,24,1,48,0,471
2025-06-16,11:44:20,JQ,9341,L,Mea,Born.,NEA,CAR,DOM,284,299,6,20,11,3,18,5,131
2025-12-11,11:18:00,JQ,621,D,Uni,Child.,SUR,SAF,INT,407,365,1,19,18,10,39,11,352
2025-09-26,16:45:28,JQ,9017,D,Sam,Will.,YES,FAC,DOM,178,61,29,11,10,8,21,1,221
2025-03-06,09:21:14,JQ,1860,D,Lan,Field.,HER,IF.,DOM,190,377,29,17,1,10,41,9,53
2025-09-03,09:14:27,JQ,602,L,All,Those.,SEN,SIG,DOM,362,137,1,19,25,4,32,12,353
2025-07-28,02:55:42,JQ,674,D,Edg,Word.,TEA,WHE,INT,210,420,24,9,10,8,35,5,277
2025-07-06,00:14:24,JQ,7220,L,Hai,Mean.,BAC,TEL,INT,345,75,44,0,21,8,11,16,211
2025-05-23,01:35:35,JQ,5268,L,Awa,Start.,FIV,WHO,DOM,108,410,18,14,13,10,10,16,296
2025-12-10,18:58:12,JQ,2934,L,Bed,Lose.,VIE,LOO,INT,211,101,24,11,14,8,13,20,404
2025-08-04,07:47:48,JQ,4677,D,Cal,Room.,FIR,PAS,DOM,432,39,41,16,20,8,33,19,402
2025-12-11,03:49:44,JQ,3251,L,Mus,Ready.,OPE,PLA,DOM,284,408,35,15,6,5,46,9,264
2025-11-23,16:10:47,JQ,4534,D,Kee,Price.,BAS,SAV,DOM,128,472,33,9,4,0,38,13,291
2025-07-19,01:59:45,JQ,6628,D,Red,Party.,KNO,TWO,INT,438,262,35,9,17,1,39,17,194
2025-05-23,23:32:05,JQ,2036,D,Sig,Three.,PER,PUS,INT,302,154,35,1,12,2,38,5,162
2025-01-12,05:32:28,JQ,4431,L,Eas,Rise.,TRI,BUT,INT,439,419,25,11,7,0,1,12,232
2025-08-09,05:31:03,JQ,6367,L,Wil,Whose.,WHE,FRE,INT,209,172,36,3,8,2,43,11,89
2025-01-13,20:04:31,JQ,7879,L,Buy,They.,AGE,ROC,INT,124,373,8,11,3,9,32,17,161
2025-08-02,21:36:02,JQ,6824,L,Gro,Poor.,PM.,MAN,INT,114,33,13,20,3,4,24,15,11
2025-02-01,11:46:29,JQ,7614,L,Rul,Want.,TAK,MIS,DOM,302,103,11,16,7,2,0,10,248
2025-05-21,22:51:38,JQ,5144,D,Win,Bag.,LOS,CAR,DOM,458,48,49,13,14,6,30,9,377
2025-09-29,23:31:40,JQ,8783,D,Bod,Page.,WID,LIF,INT,314,142,50,18,22,2,37,17,334
2025-10-28,15:18:00,JQ,5964,L,Fre,Name.,MAY,GIV,DOM,308,24,17,24,16,3,35,3,174
2025-01-28,14:22:36,JQ,6317,L,Pas,Local.,FRE,HAI,INT,390,241,8,4,10,5,37,3,1
2025-06-30,08:03:44,JQ,8028,L,Any,Room.,REA,MR.,INT,207,162,45,11,11,8,45,20,346
2025-09-24,02:42:07,JQ,3252,L,Edg,Sort.,COS,THE,DOM,366,96,48,18,6,0,36,1,103
2025-04-20,02:14:52,JQ,8605,D,Eas,Miss.,CAR,SAY,DOM,261,218,39,25,19,5,33,15,355
2025-08-29,14:15:30,JQ,8269,L,Nor,Or.,STE,LAN,DOM,210,318,18,15,9,2,1,17,298
2025-09-12,11:51:42,JQ,2038,D,Pag,Glass.,ARE,TES,DOM,185,315,41,7,11,6,43,9,432
2025-03-23,07:13:46,JQ,2793,D,Eat,Happy.,BLU,BOO,INT,388,401,22,1,2,5,42,10,139
2025-07-31,21:47:28,JQ,9580,L,Not,Wall.,YET,GIR,DOM,227,107,42,18,6,9,38,20,377
2025-05-14,03:11:51,JQ,4331,L,Nic,As.,WIS,CUT,INT,159,120,0,3,25,1,2,19,358
2025-01-06,05:09:02,JQ,1398,D,Lef,Glass.,CIT,DEA,DOM,364,128,4,6,22,4,41,14,247
2025-10-02,19:23:46,JQ,2877,D,Act,Stay.,LOT,MY.,INT,113,200,18,0,10,2,2,8,338
2025-04-15,20:43:55,JQ,1539,D,Tes,Its.,FOR,TEN,INT,484,353,23,21,9,0,2,5,464
2025-08-31,02:03:55,JQ,2432,D,Sin,Ten.,IDE,BAB,DOM,200,438,27,3,2,5,4,2,497
2025-06-11,08:26:25,JQ,5755,L,Upo,Draw.,EYE,FUN,DOM,162,184,48,20,7,9,45,5,17
2025-09-02,15:02:19,JQ,3265,D,Car,Foot.,TES,ONE,INT,343,54,46,20,5,6,3,13,252
2025-10-20,08:13:13,JQ,4595,L,Fun,Left.,OFF,RAC,INT,414,247,42,19,7,5,17,13,413
2025-09-07,04:27:02,JQ,5335,L,Fou,Throw.,SON,CUT,INT,299,238,50,17,1,10,32,14,215
2025-08-12,16:47:14,JQ,6556,L,Tim,Fall.,ONT,DOO,INT,218,143,4,10,8,3,10,10,68
2025-08-12,20:12:44,JQ,3485,D,Wes,Day.,PAR,JOI,DOM,144,283,9,15,4,8,21,0,223
2025-07-04,14:11:09,JQ,4921,D,Car,About.,LEF,SO.,INT,199,451,19,17,21,6,27,10,438
2025-06-28,13:03:54,JQ,9553,L,Fiv,Tax.,MOR,WHE,DOM,270,145,22,20,7,8,47,0,64
2025-02-07,08:13:29,JQ,8806,L,Me.,Bar.,STO,NOR,INT,290,441,2,1,10,6,42,15,330
2025-08-23,04:28:32,JQ,2747,L,Saf,True.,EDG,NEE,INT,102,135,39,7,24,4,21,9,414
2025-04-09,07:40:53,JQ,8731,L,Cel,South.,NEW,MOR,INT,367,69,42,16,12,10,42,13,388
2025-03-06,01:24:06,JQ,391,L,Wha,Stop.,BAN,SEE,DOM,457,114,9,23,23,3,28,9,63
2025-09-13,19:48:16,JQ,1713,D,Ste,Team.,YAR,DAT,DOM,382,296,2,0,12,8,16,9,464
2025-08-02,18:50:32,JQ,3547,L,Cup,Vote.,SOO,MOV,DOM,392,367,34,3,11,4,13,7,496
2025-02-06,12:10:46,JQ,2976,D,Hav,Then.,BAG,MOS,INT,466,411,30,3,12,7,24,13,292
2025-07-21,09:12:03,JQ,4131,L,Wil,Music.,DRA,HOP,DOM,116,414,13,12,0,1,43,7,237
2025-07-09,21:27:26,JQ,7212,L,Ont,Play.,SIT,WHY,DOM,130,457,40,19,7,2,2,20,12
2025-12-11,05:28:51,JQ,6228,L,Bil,Grow.,DAY,CUP,DOM,173,162,10,21,2,7,2,7,119
2025-10-26,23:18:00,JQ,7416,L,Wor,Tax.,GOA,BAG,DOM,431,462,7,9,11,0,1,10,42
2025-12-26,19:00:59,JQ,9925,L,Do.,Admit.,PAS,THE,INT,471,70,18,11,16,9,33,19,137
2025-11-27,12:12:47,JQ,3328,L,Hop,Stop.,FUN,LAN,DOM,455,309,21,21,18,9,3,14,335
2025-11-02,10:13:48,JQ,8606,L,Set,Son.,HEA,SON,INT,444,343,44,13,3,0,28,19,238
2025-10-15,16:42:58,JQ,5063,L,Ove,Fall.,IF.,PM.,INT,221,21,19,6,8,4,22,2,36
2025-11-01,20:42:06,JQ,8328,L,He.,Grow.,TRU,EDG,DOM,498,317,19,21,25,4,28,17,285
2025-03-13,01:13:58,JQ,2394,D,PM.,Case.,LOO,IT.,DOM,105,430,23,12,7,10,33,2,211
2025-09-17,18:34:25,JQ,6734,L,Tak,Face.,TOP,JUS,DOM,136,288,30,7,25,7,47,1,494
2025-10-17,11:33:28,JQ,5695,L,Dee,Trade.,HOT,TOO,INT,500,91,29,0,0,9,29,18,83
2025-05-07,08:00:22,JQ,3485,D,Dog,Reach.,MOR,PM.,INT,307,207,11,2,25,10,35,20,368
2025-11-22,21:30:22,JQ,7726,L,Bag,Door.,IT.,IT.,DOM,184,46,3,2,2,0,2,11,296
2025-11-15,04:11:07,JQ,3537,L,Six,Role.,THE,TYP,INT,229,16,15,9,19,8,3,12,107
2025-09-07,06:34:21,JQ,1024,D,A.,Send.,BLU,TO.,DOM,469,222,29,25,12,8,15,20,474
2025-06-15,14:58:38,JQ,6244,L,Als,Down.,PAG,THU,INT,178,224,21,12,20,4,30,6,476
2025-09-29,15:19:08,JQ,5711,D,Tak,What.,SKI,MUC,INT,104,131,48,16,25,7,7,4,355
2025-05-29,17:05:01,JQ,8178,D,Boy,Guy.,EAC,LOS,DOM,249,283,0,9,19,3,5,13,307
2025-02-10,06:33:08,JQ,5266,D,Ove,Box.,PAG,HOU,DOM,488,123,44,21,18,4,48,3,452
2025-05-13,04:09:40,JQ,2193,L,Yes,Hold.,OUT,LAT,INT,256,247,31,23,0,8,21,6,444
2025-07-19,20:28:23,JQ,4954,L,Har,Face.,USE,SID,DOM,328,114,50,24,7,6,26,7,29
2025-05-16,23:53:43,JQ,1534,L,Nam,News.,ELS,US.,DOM,367,295,39,18,16,1,0,16,299
2025-12-05,12:05:11,JQ,8483,D,But,Him.,HAN,UNI,DOM,237,332,47,24,3,9,26,2,391
2025-06-03,01:27:19,JQ,6781,D,Bit,Goal.,FRO,HAI,DOM,125,387,6,2,12,9,17,18,42
2025-12-05,18:53:18,JQ,9771,D,Hug,Which.,TUR,FOR,DOM,357,240,50,11,18,2,34,9,98
2025-10-11,02:48:18,JQ,5705,L,Siz,Of.,FAR,SAY,INT,228,458,42,8,17,8,36,1,337
2025-04-01,04:02:41,JQ,3887,L,Far,Study.,OUT,JOB,INT,211,485,2,18,6,9,9,11,95
2025-05-10,09:20:15,JQ,521,L,Far,Easy.,FIL,HER,DOM,203,271,31,0,9,1,37,1,495
2025-11-08,00:00:13,JQ,9091,D,On.,Eight.,HOP,SAF,DOM,327,99,5,21,11,6,3,4,275
2025-01-24,14:25:30,JQ,2923,L,Fin,Head.,BEA,TES,INT,100,42,5,3,9,4,22,0,300
2025-06-16,11:52:05,JQ,2164,D,Now,Trade.,LEG,SUC,DOM,158,176,23,16,21,0,8,2,255
2025-12-26,18:16:56,JQ,5037,L,She,View.,SHO,JUS,DOM,263,47,9,9,15,7,13,13,205
2025-06-01,18:52:28,JQ,2324,L,Fou,Plant.,EAC,HOM,DOM,404,424,7,13,4,10,28,14,206
2025-06-08,23:53:26,JQ,6450,D,The,Heart.,HOL,AGO,INT,473,224,50,18,16,6,50,2,430
2025-01-05,07:26:56,JQ,6447,L,Ask,Tell.,ITE,LIN,INT,421,54,8,13,19,5,5,3,52
2025-03-27,15:50:00,JQ,3945,D,Min,Table.,WEL,MOS,INT,163,224,42,2,19,5,28,14,494
2025-11-17,20:02:29,JQ,2371,D,Dee,Know.,STE,SEL,DOM,371,313,48,21,8,3,40,12,456
2025-04-11,20:44:30,JQ,9806,D,Wor,Ten.,BES,RES,INT,289,134,28,2,3,3,23,0,320
2025-01-23,09:48:39,JQ,2627,D,Hav,Bit.,HAN,SO.,INT,370,126,45,8,5,7,25,4,138
